1,"预示着人生中新的周期的开始，在未来的十四年中，你不得不把更多的关注投入到与内在的自我相关的事物中，而对旁人或者外在的事物无暇顾及。一宫代表你自身、你的性格以及达到目的的方式，行运土星经过这一宫时你会明确一点：你想成为什么样的人。如果此时你觉得沮丧，这就意味着你有某些不该有的坏习惯，需要立即纠正。"
2,"注意你的财产，这样的行运最容易影响你的收入，可能你被减薪或者你的开销增大了，总之你的存款要比以往少许多。但也存在另外一种可能：你对金钱的占有欲增加了，这样即使你有足够的钱，你仍然觉得不够。土星是掌管野心的摩羯座的守护星，行运土星经过时，通常也是开始下一步计划的时候，即使你很富有，你也会深刻感受到这种影响。当然，二宫不仅仅掌管财产，还影响着你的价值观，行运土星经过此宫时，你也许会觉得你辛苦得来的财产对你的吸引力已经不如从前了，但是你得到了它们，又能将它们如何处理？"
3,可能意味着和兄弟姐妹及邻里的不合。如果你们之间积怨已久，那么此时可能是矛盾最深的时候。他们需要你的帮助，或者你可能需要他们的帮助，但是你们似乎都不愿意帮对方的忙。三宫也是掌管交流的一宫，行运土星的经过会使你的思维和谈吐更加严谨，如果你一直前行，那么这种行运对你的帮助是很大的，但要小心行运土星所带来的沮丧情绪。此时也是学习新技能的好时期。
4,此时你的家庭可能会有一些变故，但未必是坏事。我认识一个朋友，他31岁时土星进入他的本命四宫，而他此时终于离开了父母的家开始了自己的生活。经过天底的行运土星也会使你向新的人生目标迈进，这通常是积极的。按照占星师Grant Lewi的说法，此时是人生获得提升的开始，在未来的十四年中，你可能会到达颠峰。当然，这只是一种趋势，别忘了还有其他行星的影响，他们可能增强或者抵消这种趋势，因此不要单凭一颗星来预言未来将如何如何，这是大多数占星爱好者的弊病。四宫通常也代表双亲中的一方，通常是父亲。如果你和他之间存在着一些问题，特别是那些你认为已经解决了的问题，此时它们可能又会缠上你，因为在行运土星的影响下，你可能很容易想起从前种种不快的经历。行运土星合天底时，也会影响到中天，这段时间里，你的职业、公众形象以及与老板之间的关系都会受到影响。
5,这是代表爱情、浪漫、创造和孩子的一宫，但这并不意味着未来两年中的一切都是值得庆幸的。实际上，在这段时间里，你很可能会被卷入一场对你来说意义重大的恋情，它成为一夜情的几率不大，也不是你能轻松应对得来的。行运土星经常和深刻、严肃的事物相伴。通常，你会在此时经历感情生活的转折点，不是分手就是结婚。此外，你容易在休闲娱乐方面出乱子。如果你有孩子，他们曾经带给你很多麻烦，但此时麻烦会更多，即使孩子已经长大，问题仍然是存在的，可能他们想要搬回来与你同住，也可能他们想要离开你。行运土星永远意味着挑战以及需要跨越的障碍。
6,这是掌管工作和健康的一宫，但这并不意味着你一定会失业或者生病。行运土星让隐藏的问题显露出来，因此现在是解决问题的好时机。也许你觉得工作变成了一种负担，它不再适合你了，你需要换一个地方。如果你是私营业主，经过六宫的行运土星意味着你的事业发展到了关键时期，在未来的两年里，你的事业要么会发展到顶点，要么会倒闭；如果你是老板，这段时间你恐怕要在雇员身上投入大部分精力，因为他们自身容易出问题，可能是辞职、去世或者不象从前那样努力的工作了，但是最根本的问题很可能出在你身上。土星掌管着需要长期的积累才能表现出来的现象，你以往的生活习惯导致毒素的积累，此时病状凸显，你需要抓住机会治疗并改变不良的生活习惯。
7,这是掌管婚姻和伴侣的一宫，当行运土星经过时，会体验到亲密关系中的痛苦、孤立、拒绝和失望。建立在不独立状态下的情感，此时会分崩离析，提醒我们需要在关系里建立自己的独立性，找到两者更深层的结合。如果夫妻二人的感情出现了危机，那么这一宫也同时掌管着离异。当行运土星经过时，千万不要拖延下决定的时间，那意味着让行运土星代替你做决定，而你很可能不喜欢这种决定所带来的后果。但从积极的角度说，行运土星过七宫也意味着它开始进入命盘的上半盘，也就是说，你过去七到十四年的辛勤工作在此时将逐步得到回报，也许你会把注意力从自身转移到事业或者感情生活上，你也可能在此时遇到更多的对手。记住，七宫除了婚姻和伴侣外还代表公开的敌人，在七宫的行运土星使你突然倍受关注，同时伴随着这种成功而来的是其他人的嫉妒，你必须学会平息妒忌。
8,经过八宫的土星不会带来太大的混乱，只是你逐渐意识到对性生活的控制是必要的。如果你在此时继承了某些财产，那你可能会有其他的麻烦，比如有人因怀疑遗嘱的可靠性而起诉你，或者你不能妥善的安置这笔财产，如果此时你需要一笔巨额贷款，那么你可能很难申请得到。此外，八宫代表他人的钱财，行运土星经过二宫时能影响你自己的钱，而经过八宫的土星能影响到伴侣或者合伙人的财产。
9,此时不宜进行长途旅行，但和商务有关的旅行除外。如果你想要休假，建议你去近一些的地方；如果非要远行不可，那么你最好在旅行的时候顺便做些和工作相关的事情。九宫也是掌管高等教育的一宫，土星象征不满和野心。此时，你可能会在事业上遇到障碍，因为你事先没有进行相关知识和技能的学习，你面临两种选择：因一味的消沉下去而一事无成，或者开始学习。九宫位于十宫(事业)之前，所以此时你的行为会对你的事业产生强烈的影响。抓紧时间做好决定！
10,十宫代表事业、公众形象、上司和人生目标；行运土星显示了从前的行为导致的结果。任何同上司或者同事业相关的问题此时都会显现出来。如果你事先对工作进行了计划，并且切实的按计划行事的话，那么现在是收获的时节——行运土星会使你的事业发展如日中天，但你仍然要努力的工作才能保持住这种状态。值得注意的是事业不是生命的全部，你需要适当的分出一些时间来照顾亲人和朋友，注意协调好事业和家庭的关系。
11,行运土星会让我们摆脱我们想摆脱的事物。此时，你会认清到底谁是真正的朋友，那些因为贪图利益而和你结交的人此时会显出原形，让他们走吧！但此时真正的朋友也可能会离你而去，你会拿出大量的时间来陪伴留在你身边的朋友们。对于你的希望和愿望也是如此，你的某些想法可能会显得陈旧，需要改变或者放弃。十一宫也代表我们与群体相处的方式，如果你加入了某些团队或者俱乐部，行运土星可能会给你带来麻烦或者额外的责任。也许是这个团体的性质改变了，你对它不再感兴趣，或者你在这个团体中的地位得到了升迁，这意味着更多的工作和责任。行运土星总是能让人有苦尽甘来的感受。
12,经过十二宫的土星通常标志着一个漫长的循环的结束，因此现在是了结的好时间。但此时不适宜制定长远的计划，行运土星经过上升点进入一宫后才是制定长远计划的最佳时机。你可以做一些短期的计划，但暂时不要实施，因为即使你试着做了，行运土星经过上升点时也会让实施的进程停滞不前。现在你需要做的是放弃多余的东西，为新的行动做好准备。
