ar,ar,"太阳白羊+月亮白羊=永远冲在前方的射手 <br><br>

优点：开拓精神<br><br>

缺点：有些反叛<br><br>

性格解析：<br><br>

太阳星座在射手，月亮星座在白羊，这样的结合使你精力过人，并且具有开拓精神。只要能推动你的目标，并且能让你冲在第一线，即使是一些普通的事情，你也会为之努力。喜欢承担责任，并且尽自己最大的努力去完成。有着射手座的真诚、谨慎、善于表达和多才多艺；白羊座的自信、野心和热情。兴奋，冒险和进步是你所追求的。有时敢作敢为的性格使你达到设定的目标。如果能避免不安、冲动和行事草率，做到三思而后行会使你受益。你需要深思熟虑，有时匆忙行事只会使你粗心大意。做事前考虑周全你的主意和计划。你抱有强烈的信念，伟大的理想并且坚守原则。考虑问题灵活，修改计划和想出计划一样迅速。你是个领导者，如果你负责某件事情，进度将会很快。天生的执行者，从不惧怕做出决定。<br><br>

你对爱情的态度热情如火，将会使你在这方面享尽美好的经验。你不一定会对爱情关系太认真，因为你会在热情之余带点轻佻。请注意白羊座最大的缺点是自私，所以你对伴侣也许会非常自私。你具备白羊座的热情，善于沟通，对伴侣的欲望和建议，你的反应会很好。最幸运的是白羊座的自私习性在你身上比较缓和。<br><br>


建议：每天默念四个字 ― 适合而止。<br><br>"
ar,ta,"太阳射手+月亮金牛=永远跟随同伴的射手（双重幸运的配置） <br><br>

优点：温和忠诚<br><br>

缺点：过于自满<br><br>

性格解析：<br><br>

太阳射手月亮金牛这样的结合造就你温和，亲切和浪漫的个性。相当理想化，甚至有时想法过多造成负面影响。有追求有抱负，却并不野心勃勃。在生活中，你追求对理想的满足高过于对现实的满足。似乎对于日常琐事，比如如何谋生，并不太关心。对于工作，时常认为你的要求会得到一定的满足，事实也经常如此。相当相信别人。大多数情况下，别人的反应和你期望的一样。当别人的反应和你的期望不一致的时候，你会被惹恼，使你陷入困境。有着许多的梦想甚至幻想。当你遇人不淑的时候，会感到很失望，残酷的现实环境开始使你无力自拔。对于批评，你好象处理不好，并对此耿耿与怀。<br><br>

月亮在金牛座稳定了你喷火的性格，尤其是在面对考验时；也有助于节制不必要的冒险和盲目乐观的心态。金牛座是土象星座，因此能够阻止你草率行事，赋予你谨慎、理性和耐性――这些品格与射手座往往是无缘的，你遇到事情的态度是绝不立刻介入，先权衡利弊后才会展现天生的热情与活力。你生性谨慎，具有生意细胞，比大部分射手座的人擅长处理金钱。即使克制不住赌徒的天性，你还是不太可能贸然赔掉老本，做出眼高手低的事情。<br><br>


建议：要认清一个残酷的事实 ― 这世上值得信赖的人其实很少。<br><br>"
ar,ge,"太阳射手+月亮双子=永远四处张望的射手 <br><br>

优点：热情大气<br><br>

缺点：无法专注<br><br>

性格解析：<br><br>

在经济上，你天生就比较幸运，从来不用太担心。知道如何推销自己，赢得大家的威望。在你安顿下来之前，已经有了较多的人生经历。你需要用旅行、变化多样的生活，精神激励和你身上诸多的性格特点占用你极度不安的本性。稳定对你来说是个挑战，长期做一个工程，学习一门课程甚至和一个人呆得太久对你来说都是困难的。不能专注一个目标努力是你的弱点。然而，广泛的兴趣和热情使你能够有效地做好许多事情，并且取得持续的进展。你从来不能理解小气，对此你从不内疚。只要事情有合理的变化，你就能做好。由于内心的理想和信念加上冷静态度和良好的判断力，你确实能够达到你的目标。<br><br>

射手座和双子座都有变动的特质，这表示你在智慧和个性上都很有弹性，喜欢变化。这个特性你不必太介意。不过倒是要注意肤浅的毛病，这个毛病很可能是从二元的性格衍生出来的。所以做事力求有始有终，而且别忘了不安是双子座和射手座的通病，这个缺点在月圆出生的人身上也益发严重。你具备射手座的热情特质和双子座的调情手腕。二元性格很可能会在爱情生活中扎上一角。你比大多数的射手座更需要一个在心灵上能够与你契合的伴侣。<br><br>


建议：要适当地给身边的人一种稳定的感觉，哪怕是伪装出来的。<br><br>"
ar,cn,"太阳射手+月亮巨蟹=永远追随感觉的射手<br><br>

优点：直觉敏锐<br><br>

缺点：易走极端<br><br>

性格解析：<br><br>

这样的结合造就你理想主义和浪漫主义的性格。你是个梦想家和空想家。射手座的真诚，积极，热情和善于表达，加上巨蟹座的情绪化、敏锐的直觉和洞察力，使你的性格多变而敏感。想学的愿望加上实际的能力使你具有灵活变通、多才多艺、适应性较强。有敏锐的直觉引导能帮助你能摆脱生活中各种麻烦。情感上比较敏感，使你很能理解别人，知道他们想要什么。由于你情绪化的性格，你易于走极端。控制好你的冲动和热情。不要让情绪破坏理智。你在表达自己的感觉和同情心的时候显得有些冲动，因此在择友方面，有时是根据你的感觉，而并不是对他人的了解。如果择友更加小心，选择与那些公认的诚实、聪明和值得信赖的人做朋友，你会交到不错的朋友。常对自己要求过高，努力获得更多的认可。<br><br>

你表达爱的方式非常性感，具有各种优点，能够维持稳定而且兴奋的关系。你的感情很丰富，因为射手座的特性正是强烈和火热，在爱情方面的表现更容易突显这些特性，你也具备巨蟹座的柔情，对伴侣的需要会非常体贴。你也许不如一般射手座那么乐天。请千万注意不要让巨蟹座的抑郁情绪、犀利反应破坏了原本美好的关系。<br><br>


建议：如果把你的直觉正确地运用在商业上，获得成功的概率十分大。<br><br>"
ar,le,"太阳射手+月亮狮子=永远不走捷径的射手（容易成功的配置）<br><br>

优点：重视荣誉<br><br>

缺点：忽略他人<br><br>

性格解析：<br><br>

这样的结合使你非常专注：专注于荣誉，声望和地位。你不会为了达到目标走捷径、撒谎、欺骗和做不光彩的事情。荣誉对你来说极度重要，你说到就会做到。这两个星座火热的结合使你不需要非正当的优势就能取得成功，因为你有足够的精力和热情使你达到目标。即使别人早已放弃，你也会锲而不舍。你面对的任何障碍对你来说只是暂时的问题，你不会因此而一蹶不振。这是个非常好的结合，预示幸福和成功。你适合公共服务业，例如法律，教育和政府部门。这些职位对你来说，声誉比薪水更重要。<br><br>

你不太善于和那些拒绝进步和成长的幼稚之人打交道。聪明达观，心胸开阔，极富创造性。你的创造力在于你能在脑中形成一个形象，并且按照你设计的画面把它实现。你对待生活很认真，并且对于怎样最大的利用人生，你有强烈的感知力。除非你的计划确实乱七八糟，不然你定是一个极其优秀的人。月亮促使你对事情的态度比较认真、有组织能力，喜欢发号施令，而且愿意接受挑战。你的太阳和月亮都是火象星座，因此天生具有无比的热情与乐观，对人生的态度极端积极。<br><br>

建议：只要确保你的计划是对的，那么你很少会失败。<br><br>"
ar,vi,"太阳射手+月亮处女=永远稳速前行的射手<br><br>

优点：智商很高<br><br>

缺点：偶尔冲动<br><br>

性格解析：<br><br>

你悟性很高，既能掌握宽泛的概念，也能应对微小的细节。你发展良好的心智水平使你从宽泛的概念到技术上的细节游刃有余，在事业和职业上适应能力很强，是个多面手。在任何问题上，人们不用猜都知道你的立场。社会总是需要那些能思考在哲学上有实际意义问题的人。有时候你有些热心过头，但并不会冒犯别人。你有着外交家般迷人的风度，兼具领导者和指导者的权威。但有的时候应注意不要太冲动。如果你避免仓促行事，让自己承受一定的压力，这个时候你的状态是最好的。<br><br>

一般射手座的人不善应付细节，而你却恰恰相反，你对这类事情的反应良好，甚至在观察整体之前会先注意细节。你对问题的态度是挑剔而重视分析的，颇能够发挥同中求变的射手座本色，月亮收敛了你的热情，在爱情生活上可能比较放不开。本能的谦逊态度可能会使你在这方面自觉不如人。实际上你有许多优点，没必要自我贬仰。处女座的严重缺失是喜欢严词批评他人，而且往往并没有合理的立论基础。射手座的人是最憎恨这种行为的，所以在你忍不住唠叨时应该及时刹车。<br><br>


建议：让自己承受一定的压力，这样你才能走得更稳。<br><br>"
ar,li,"太阳射手+月亮天枰=永远保持优美步伐的射手<br><br>

优点：和平大使<br><br>

缺点：毅力不足<br><br>

性格解析：<br><br>
这样的结合使你成为和谐与安宁的化身。你拥有射手座的闯劲、乐观、热心和慎重；天秤座的机智、魅力和友善。这两个星座都很独立，但都不够有毅力。你对自己相当自信，这一点在与他人交往过程中可以反映出来，并且基本上对人比较了解，这些优点可以弥补缺乏毅力这一弱点。这一结合最主要的特点是良好的意志、快乐的性情和对朋友真诚的关心。你很善于避免争执，一旦发生争执，你通常是充当调停者的角色。为了赢得安宁，你甚至可以放弃立场。你的思想并不是很开放，有的时候甚至落伍，但是你是你所知道人里最有忍耐力的。理性多过感性，很少有事情会使你恼怒，你无拘无束地过着生活。你只是有着强烈的自尊心，不能忍受任何降低你尊严的事情，也不能忍受别人让你感到自卑，并非野心勃勃。<br><br>

你能很容易在商业上获得成功，因为你有良好的推断能力、准确的感悟力、很强的比较能力和不偏不倚的判断力。你知道如何摆脱极端化和过度的趋势。社交和朋友对你相当重要，因为成功和进步总和朋友和熟人联系在一起。你给人家留下的印象是你最大的财富。你对任何事情的反应都比较悠闲。请务必发挥射手座的潜力。身心双方面千万不可迟钝。射手座的火象与天秤座的风象是完美的组合。你的个性迷人，心地善良，待人体贴，富有同情心。<br><br>


建议：不要总是为了赢得安宁而放弃自己的立场。<br><br>"
ar,sc,"太阳射手+月亮天蝎=永远抱有明确目标的射手（不容易被打倒的配置）<br><br>

优点：干劲十足<br><br>

缺点：攻击他人<br><br>

性格解析：<br><br>
射手座开阔的视野加上深入问题核心的天蝎座的本性是良好的组合。你的情绪强烈、火热，但是善妒的毛病却值得注意。射手座和天蝎座的人都象上足发条一般精力无穷。射手座发挥的方式是活泼、积极的，天蝎座则比较深沉、直觉很强。你的能力和潜力都取之不竭，善于处理各种问题和麻烦。你的耐力和智慧是无人能出其右。有了这些特点，你在工作上必定能够完全投入，掌握到目标。如果得不到成就感，生活空虚，那么你将是最痛苦的射手座。如果你能够发挥生意头脑和直觉力，在金钱的处理上应该会非常能干。在金钱方面，天蝎座的能力应该超越射手座。<br><br>

天蝎月亮能迅速凝固射手太阳宽广的灵感。他们渴求机遇以证明自己的价值（这是好莱坞导演斯皮尔伯格和功夫巨星李小龙的日月配置）。月亮天蝎带来了恰到好处的矜持感，使他们能清晰有力、令人愉悦地表达个人观点和见解。他们在表达感情的时候会有些表面上的迟疑，但一旦得到鼓励，就能轻松地展现幽默感和对他人的欣赏。射手太阳让落陷的月亮更加容易发挥出正面的特质。 <br><br>

建议：要想成功，必须避免冲突，谨记！<br><br>"
ar,sa,"太阳射手+月亮射手=永远不会中途休息的射手<br><br>

优点：乐观积极<br><br>

缺点：敏感度低<br><br>

性格解析：<br><br>
这样的结合造成你冲动的性格。精神上和身体上你属于一触即发的，一点即着的类型。你会承担很多责任，因为你不愿事情半途而废，或者疏于管理。考虑问题全面，讨厌那些有悲观态度的人。即使没充分发挥自己的潜能，你也从不会沮丧。看问题比较抽象，善用苛刻的判断，也期望别人达到你的标准。你并不是没有情感，只是缺少一点敏感。你表达自己观点的方式很引人注目，象是盛大和隆重的场面。你很严谨，你的行为大部分是在常识和你理想中的观点基础上对外界的反应。这种结合适合做领导，当别人不接受你领导时，你会很快表达你正义的愤慨。你的个性更多的是客观冷静的，重视原则和理想多过具体情形和个人问题。<br><br>

你具有射手座各项特点，遇事的反应也是不折不扣的射手座。当别人提出一种观念时，你会立刻兴致勃勃的希望能够参与。你应该时时保持最初的热忱，否则很可能会犯下射手座的严重缺失：不安分。你是个变化无穷的人，但是在选择时应该有原则，不宜贪多嚼不烂，更应该有始有终。<br><br>

建议：要积极鼓励身边悲观的人们，而不是讨厌他们。<br><br>"
ar,cp,"太阳射手+月亮摩羯=永远在走上坡路的射手（木星与土星的完美融合）<br><br>

优点：有执行力<br><br>

缺点：无<br><br>

性格解析：<br><br>
射手和摩羯是一个注重实际，有执行力的结合。有着射手座的活力、乐观、热心、远见和慎重；摩羯座的雄心，精明和实际。思想和本能上的审慎使你在实际的基础上制定开放式的计划。良好的远见使你能勾画出事情的发展，并直觉地明白未来事业的发展道路。现实、有雄心，并且带有强烈的责任感。正直是你性格中重要的特点，这也为你赢来了完美的声誉。月亮在摩羯座使你时刻不忘自己的目标；太阳在射手座，更追求幸福和工作带来的自我满足。你是个能够平衡各个方面的执行者。<br><br>

太阳赋予你热烈积极的人生观，而属土的摩羯座则使你小心翼翼，不随便冒险。你有很大的抱负，面对考验时会立即看到最后的结果，随即开始设计自己要如何完成目标。射手座大致上是沟通高手，所以当你遇到效率不彰之事十，绝对不会拙于表达。请收敛怨天尤人的毛病，这并不是射手座典型的特性。在感情的流露上，你比其他射手座的人内向，在关系发展之初可能比较保守。这并不代表你无法享受爱情和性生活。你比较忠实，不会象一般射手座的人感情飘忽不定，在托付终身之前会有较多的考量。<br><br>


建议：可以多培养一些兴趣爱好来放松自己。<br><br>
"
ar,aq,"太阳射手+月亮水瓶=永远不走寻常路的射手<br><br>

优点：说服力强<br><br>

缺点：过于理性<br><br>

性格解析：<br><br>
这样的结合造成你的性格独立、浪漫、理想化和善于表达。你具有射手座的活力、乐观、热心和远见；还有水瓶座的创新和独立。你对时间感知力很强，并且善于说服别人，这样你无论在阐述深刻的话题还是在聊天的时候，都能激励和感动别人。你知道怎样表达事物，突出重点，让别人明白你的意思。对于引起你注意的情绪，行为和思想，你总能进行概括并且对给它们找出哲学上的动机。<br><br>

月亮在水瓶座，使你的性格增添了耀眼、鲜明的特色，不过对于过度保护你的伴侣，你的最初反应很可能比较冷疏远。在展现射手座生动的热情之前，你需要先建立深入的友谊和相通的心灵。<br><br>


建议：你具有令人信任的特质，因此要善于运用你强大的号召力。 <br><br>
"
ar,pi,"太阳射手+月亮双鱼=永远在寻找道路的射手<br><br>

优点：十分包容<br><br>

缺点：低估自己<br><br>

性格解析：<br><br>
你生活在理想的世界里，对于物质的事情并不是太感兴趣。你并不是自吹自擂之人，实际上，你非常的谦逊。情感上你敏感而浪漫，因此可能会受到那些激起你同情心的人的利用。你很大度，不会怀恨在心，对人完全没有恶意，从没有嫉妒和报复的心理。也许你不太实际，，但是你知道自己的价值，无论你做什么都会以你自己的方式取得成功。要想成功，你得克服不安和过多的忧虑。你会低估自己的能力，避开公众的注意，有些缺乏自信。你讨厌琐碎的细节和令人厌烦的惯例，但是如果你把自己的精力花在确定的目标上，你的注意力会得到最大的发展。<br><br>

射手座和双鱼座皆为变动星座，你在这种组合下非常有弹性和随和。双鱼座以两条反向而去的游鱼为代表，射手座的记号则是半人半马。这些符号象征变化无穷，潜力惊人，也有相当的不安成分。<br><br>

建议：知道自己的价值，以自己的方式去实现梦想，这就是你要做的。<br><br>
"
cp,ar,"太阳摩羯+月亮白羊=把名誉看得最重的摩羯<br><br>

优点：工作努力<br><br>

缺点：态度强硬<br><br>

性格解析：<br><br>

你的太阳星座和月亮星座的结合产生了一种目标明确，坚决有力的性格。对成功的追求给你很强的动力，你愿意十分努力的工作，去确保成功的实现。名誉对你的幸福至关重要。你知道怎么样去影响别人，但是你坚决反对给别人以唯唯诺诺，很谦恭的印象，或者做任何阿谀奉承的动作。人们深信你会举止得体，老练有度，而你却总是会清晰的表现你的格格不入的个人观点。得到一些经验以后，你最学着在你没有多少实权的时候，让自己少说话，尽量表现的耐心一点。<br><br>

月亮的果决赋予雄心勃勃的摩羯座积极、热情的处事态度，也克服了你对人生过于严肃的缺点。你遇到事情的态度活泼、积极，求胜的本能也因为企图心和斗志而越发明显。你具有成就大事的潜力。能吓阻你的事情并不多，任何不利的情势你都能克服。白羊座的感情非常强烈。请找一份能够让你获得成就感的工作，将强烈的感情投注其间。真正的摩羯座对金钱很审慎，投资方式明智。白羊座的月亮则赋予你企业精神，精于致富之道。具有白羊座特质的人经常有两份收入；你很可能是这种人。你也可能比一般摩羯座之人慷慨，只要别人有任何需要，你立即反应为以捐款等方式出手相援。<br><br>


建议：在你没有多少实权的时候，提醒自己少说话，要显得有耐心。<br><br>"
cp,ta,"太阳摩羯 +月亮金牛=把目标看得最重的摩羯<br><br>

优点：优雅坚定<br><br>

缺点：适应力差<br><br>

性格解析：<br><br>

你的太阳星座和月亮星座的结合产生了一种十分固执坚决的个性，在你的性格里，决心坚定是标志。你的想法现实而且果断，性格十分稳定。你相信事情会朝着最好的方向发展，而事实上也的确常常如此。你很容易全心全意投入自己的目标，而且你会以特别的坚定去向目标迈进。你的雄心根深蒂固，意志坚定而执拗。你喜欢迎接挑战，也喜欢有很多难题让自己解决。你很少改变主意或者更改自己的路线。你对自己的方向如此固执，以至于如果条件发生改变，你将很难适应。你坚守自己的个性，有种为信教而献身的教徒的意味。人们发现，对待瞬息万变的生活，你有一种客观冷静的态度。你批判时常常面带微笑，优雅而坚定。冷静的判断和对条件客观的分析让你成为一个执行能力很强的专家。你是一个有坚定而实际观点的管理者和组织者。<br><br>

月亮鼓舞你在感情和物质上都寻求安全感。你需要一个稳定、永久的关系。和值得信赖的伴侣，与你携手共创人生。你是个性感的好情人，能够在爱情生活中享尽美好。不过记住霸道是金牛座最大的毛病，你可能会给予伴侣太多的压制，而令对方透不过气。你对金钱的运用非常在行甚至也许会选择在银行或保险界工作。无论如何，你都是一个懂得用钱的人。你不会任意冒任何风险，而且竭力避免坠入风险中。 <br><br>



建议：事情总是会朝着最好的方向发展，只要你一直在努力。<br><br>"
cp,ge,"太阳摩羯+月亮双子=把思想看得最重的摩羯<br><br>

优点：思维新颖<br><br>

缺点：内外矛盾<br><br>

性格解析：<br><br>

摩羯座属土的性质，搭配双子座属风的特质，使你的性格出现不少有趣的风貌。你的特质受到双子座的影响而变得轻快、多变，偶尔甚至会逃避麻烦。你具有高度的幽默感。你面对挑战的反应是轻松而且智慧的，既好问又质疑。你非常善于辩论，为了诉说你的观点而不惜吹毛求疵。你不像一般摩羯座的人那么死心眼，比较喜欢变化，还有同时能做好几件事的本领，使你成为受欢迎的人物。你也许样样都通却样样稀松，满屋子堆着琐碎、不重要的东西。由于善于沟通，你应该很适合在传播媒体方面任职。只要能够避免肤浅的毛病，就会将所有双子座精彩的特质运用自如了。<br><br>

你比一般的摩羯座玩世不恭，以调情逗笑为家常便饭。你喜欢关系建立之初的友谊，这份友谊与智慧上的交流是长期关系的关键。<br><br>

你可能不如其他摩羯座的人那么精于理财，也是少数应该向专家请教理财之道的摩羯座。在智力、创造和科学的领域中，摩羯的抱负和企图心能找到最佳的释放点。但他们可能有先说再做的习惯。在他们个性保守的一面和带有革新色彩的踌躇的一面之间，存在着冲突。 <br><br>

建议：身边的人不理解你是正常的，因为你有时都不了解自己，所以做事之前先明确你的想法很重要。<br><br>"
cp,cn,"太阳摩羯+月亮巨蟹=把家庭看得最重的摩羯<br><br>

优点：直觉力强<br><br>

缺点：过度情绪<br><br>

性格解析：<br><br>

你的太阳星座和月亮星座的结合产生了一个敏感的头脑和一种天生具有高度细致的直觉洞察力的个性。你能“感觉”到世间人和事的真理。你十分敏感而且内省，如果能自己的灵感沿着实际的路线前进，你会获益良多。你不会浪费时间在别人不购买的东西上叫卖。在赚钱上你很有诀窍，也能想到稳妥的方式一直赚下去。你有时会很神秘，不做好把对方当作知音的打算，就不会吐露任何东西。总体上说，你需要抵制自己对自己的思考过激，借此来改善你外在表现的性格。你性格里有很浓重的恋家情愫，对家乡故土感情深厚。你需要密友和能理解你的人的支持和帮助。通过抵制自己的过倾向，你会变得很受欢迎。你的意志坚决和你对目标的坚定不移是你力量的主要源泉。<br><br>

月亮促使你对别人的态度亲切、反应敏锐，不过每当遭遇到考验时，自我保护系统也许会迅速升起来。这代表你可能不太自信。你比其他摩羯座的人感情用事，在爱情关系中能够大量付出自己的一份力量。生性负责的你，本能的知道如何取悦另一半。不过请你注意不要在经营安全、温暖的环境时，逼得伴侣无法喘气。你是个天生的忧心者，再加上想象力过人，所以只要另一半晚一点回家，你很可能就心急如焚了。最好的解决办法是将你的想象力转到创作方面。脚踏实地的摩羯座有幸承袭了巨蟹座的精明干练。你很善于运用财富，在作投资的时候可以跟着直觉走。你可能经常觉得自己不算富裕，请你随时核对自己的财务状况，以便安心的享受辛勤之后的成果。 <br><br>


建议：你最需要找到那种能理解你并支持你的另一半。<br><br>"
cp,le,"太阳摩羯+月亮狮子=把权力看得最重的摩羯（容易成功的配置）<br><br>

优点：贵族气质<br><br>

缺点：有些冷漠<br><br>

性格解析：<br><br>

你的太阳星座和月亮星座的结合产生了一种天生就具有领导控制力的性格。你精力旺盛，充满活力，这让你在生活中颇受欢迎，能获取很大的成功。你是一个很自立的人，行为上有些贵族气，即使你身份平庸，你的超然冷漠的态度也让你显得地位尊贵。你不用刻意表现，百般恳求就能让事情朝着对你有利的方向发展。你知道怎么在合适的时间和恰当的方式去表现的果断而老练。你渴望权力和地位，但是你会用一种冷静而镇定的方式去获取他们。<br><br>


摩羯座和狮子座在许多方面截然不同。可是至少有一项共同点：追求高品质，品味高尚。狮子座喜欢高品质是出于他们的本能，而摩羯座花钱的本领却实在令人刮目相看，尤其是重视那些有利于他们的人的看法。无论如何，你都会花不少钱。假如你感到良心不安，不妨告诉自己你的投资很明智，而且也有不少储蓄。当你有一笔钱想作投资时，也许用不着去请教专家。他们行事果断有序，容易树立威望（只要成长环境允许），有着精力旺盛、充满生机的个性。他们落实企图的手段直接的，引人注目的。他们能超然于个人情绪，铁面无私，由此创造了效率。实用主义和自信给这他们带来强大的说服力。他们崇尚精确（这是毛泽东和Noel Tyl自己的日月配置）。<br><br>

建议：不要试图在任何事情上统领全局，一些小事应该放手。<br><br>"
